id	filename	md5	size	state
002a9e88-711e-4481-97a8-c8b3ba1f94a4	nationwidechildrens.org_clinical.TCGA-02-0116.xml	39c7f71115fc55e554cb499413add968	42080	live
002c73d2-cad3-4e22-a8eb-2650e3f97560	nationwidechildrens.org_clinical.TCGA-06-5416.xml	ae0ff2592e06b3c8e0171762999c42aa	28366	live
01b769d6-d312-4f4d-b648-7194324ee01e	nationwidechildrens.org_clinical.TCGA-06-5415.xml	87879866daee47f366d905f875d20f47	28353	live
026f4c1b-2e3b-45a4-8f63-0fcc667306e2	nationwidechildrens.org_clinical.TCGA-14-0865.xml	5aaa1b556e1641aba3df0407da455ff6	48991	live
03117c79-02e6-4c79-aae1-148a7472406c	nationwidechildrens.org_clinical.TCGA-14-0813.xml	66b8f391149eb5955a436eb107883312	23245	live
039c60f3-4023-40d7-8e7c-0678a5f19c32	nationwidechildrens.org_clinical.TCGA-08-0516.xml	8420b73838756622b5247cfeda05bc84	30431	live
05f47372-7896-4aee-adcd-9a59cb742e0a	nationwidechildrens.org_clinical.TCGA-28-1752.xml	17c0a1ef6ba8a230c53af0776bf0ad16	52946	live
0619e86b-d4e1-428c-96cb-e26041c872a0	nationwidechildrens.org_clinical.TCGA-06-5412.xml	30910fec1f41067b1fef447e0e7f73d6	36399	live
067d3996-63f4-40cf-9bfa-17220cf482d8	nationwidechildrens.org_clinical.TCGA-76-4929.xml	f818f5dba068a806450607d28f9c0f8a	17138	live
06b464c4-fbe0-43aa-a1bc-73dd891c81c1	nationwidechildrens.org_clinical.TCGA-06-0206.xml	faec80a12776da2d88310f804db75907	30101	live
0754fa78-aaca-4e1b-b3cb-c87b5ae7397f	nationwidechildrens.org_clinical.TCGA-12-1098.xml	7169674e3934cc8b9a11122958d1d14d	30199	live
0793d3fe-43fe-476c-a000-9bde270587d9	nationwidechildrens.org_clinical.TCGA-14-0812.xml	b5a3fa87da603ec3394bd3d2623b881d	29405	live
07f45ff3-4a48-4b46-a6df-5ba34d9854ac	nationwidechildrens.org_clinical.TCGA-02-0325.xml	0afd28a06ccb313de891de016d5bb7c7	48293	live
0853f54b-54e5-41b1-9ca3-0f6b31f856b6	nationwidechildrens.org_clinical.TCGA-12-0819.xml	a464cee98a4802e530b9b17546b3e9b4	67003	live
